set,study,series,image,height,width
train,d4d4ad4ecf8a,0024ee0bdacb,3485947413e1,2320,2832
train,759fdf1aaf08,47ffb9db4d5d,01e604f3bb53,2539,3050
train,0051d9b12e72,152f6ec68d86,bb4b1da810f3,2336,2836
train,e705df6bf622,488478268d58,5ce90616364e,2544,3056
train,f87baaa34bec,93ca1aa7cb50,5bfab860f585,2336,2700
train,aab3267c0c17,398ebb73a5a2,b9526de44654,3480,4240
train,11fc7a6b1309,51f522d88249,9c3454d28ecd,2425,2649
train,58ff60a8bc71,e8a8abf9b21f,1db458e46996,3488,4256
train,9d41436ab64b,36ff16b09bce,d250cb25dd00,2400,2880
train,25a4b11a059b,3e793f9780d2,655c08079be0,2010,2431
train,df8a4edfd64a,eafc2834e3e3,5ac2d999c150,2336,2836
train,6354129bb2c3,129cfa56b3cc,107ab0822b8d,1760,2140
train,ac46cbde0e0e,82fae1d451c4,e4a78ff8fa73,2520,3032
train,ac46cbde0e0e,e6169b6df2ce,13ff01cf36f8,2520,3032
train,98868469e23c,ad512ae3e6f1,918959bdda4a,3480,4248
train,ee5af3809557,ddab31102011,d638bfcf071d,2336,2836
train,bc5b0adc8653,9b4e4e0bfaa6,a48c16f1d0e5,2336,2836
train,6d6965af3f63,a86ca849b1cc,8e882bd6662a,2874,2840
train,f17037e3c5a5,e61954e5349c,991756246f03,3480,4240
train,0e5b9c6b7ba6,c1f9566f7e02,ef367099b05f,3480,4240
train,686012381df9,3be119cf2828,1338eda32f9b,2801,2798
train,68370c4bcdc6,cc4408fc45bd,d0251cb64bb6,2320,2832
train,e6505c104184,9bcb69ed511b,3d5897b393d2,3480,4248
train,82ed58c1b0db,eadf6c1222d6,fd4ee26e48d4,3480,4248
train,09aa1559bcd4,4374f9a25d9e,49d437cbcfa2,2436,3032
train,eb5090e6fdc2,8db7ec007c60,78a25e4b11dd,2336,2836
train,e87937446df8,f2f9c4b3e55d,36a35a318b14,2512,3048
train,4f76e9117edd,278a4b929ac4,cc464aea86d7,2687,2754
train,c8de4d9c339c,4d91d94c31a7,c2f682af3f6a,1140,1387
train,11e01ba9df76,4fefb9499d22,c3510a436bff,2416,2872
train,11e01ba9df76,2f298b9d1e40,5a43c16b88d7,2416,2872
train,ea3aaa187640,56b35e42f5af,a226584b9b79,2825,2998
train,e2998bb6695c,c5a2d4adf57b,686c25134e34,2520,3032
train,842eea3e3951,4a182d3d84c9,7626c521cad7,2336,2836
train,842eea3e3951,24fda24ff5ec,ac212043ee3c,2336,2836
train,6f080807353a,19ed4663094b,5111b11537d3,2012,2012
train,54d88dea1338,758d572fc809,6e50d72d9cca,1760,2140
train,30e9696b5abf,da1cb191940c,be68c5758c13,2800,3408
train,b7378896c37c,93f60ef89e58,33cf2c834c40,2336,2836
train,b524c80e729a,2702319e5a1d,47d014f9055a,2991,2992
train,0412ac22af28,19897cfae40e,da4b622d58bc,2428,2428
train,2ea5d1b25a2d,d2294e42dc32,24d19850993e,3320,3408
train,4b1d718d562a,d9446e0e2419,353d5dbe2de0,2560,2350
train,490545ad8409,12391b4052e0,5807a187f396,3488,4256
train,12eb7f468be2,9120677d76b3,c01d581d6b2a,3000,3000
train,2bd907ae6451,f5aec4f13924,03dc2e91e74d,3480,4240
train,a2c18811ac63,ef2705b3f167,f99ff59c6cbf,2801,2802
train,dd31f8f3d087,8e38785644fc,5f19e0941d27,2010,2431
train,4de6472758de,1da97a21cbcc,6b365e092404,3052,3052
train,e0d90a4de0c6,cde105108a84,b14aa9495194,2336,2836
train,2d5ef00a9d18,6df2ad2e66e9,371fdb603115,2801,2802
